Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;11145	-3202	1557;-122	-223	-245;-435	1400	-1292;4107501.000;54.703;29.862
0.00850;11197	-3175	1625;-122	-223	-245;-403	1203	-1760;4107501.000;54.703;29.862
0.01250;11123	-3038	1693;-112	-213	-248;-419	1002	-2068;4107501.000;54.703;29.862
0.01650;11083	-2998	1671;-112	-213	-248;-434	772	-2459;4107501.000;54.703;29.862
0.02050;11069	-2951	1773;-116	-212	-246;-507	538	-2878;4107480.000;54.703;29.862
0.02450;11053	-3035	1829;-116	-212	-246;-538	283	-3176;4107480.000;54.703;29.881
0.02850;11024	-3061	1879;-117	-212	-243;-601	-52	-3535;4107480.000;54.703;29.881
0.03250;10978	-3140	2105;-117	-212	-243;-598	-265	-3890;4107480.000;54.703;29.881
0.03700;10928	-3273	2216;-119	-214	-246;-616	-502	-4255;4107480.000;54.703;29.881
0.04150;10840	-3449	2452;-119	-214	-246;-613	-810	-4592;4107480.000;54.703;29.881
0.04600;10773	-3490	2751;-121	-213	-253;-595	-1153	-4947;4107480.000;54.703;29.881
0.05050;10661	-3498	3061;-121	-213	-253;-563	-1503	-5216;4107480.000;54.736;29.881
0.05500;10645	-3407	3332;-121	-216	-247;-551	-1843	-5476;4107456.000;54.736;29.881
0.05950;10670	-3380	3650;-121	-216	-247;-456	-2261	-5863;4107456.000;54.736;29.881
0.06400;10698	-3569	3818;-128	-217	-249;-315	-2660	-6075;4107456.000;54.736;29.881
0.06850;10958	-3709	3813;-122	-226	-253;-82	-3155	-6340;4107456.000;54.736;29.881
0.07300;11297	-4016	3795;-122	-226	-253;235	-3674	-6789;4107456.000;54.736;29.881
0.07750;11735	-4239	3669;-121	-222	-256;506	-4021	-7109;4107456.000;54.736;29.881
0.08200;12170	-4384	3480;-121	-222	-256;785	-4313	-7375;4107456.000;54.736;29.881
0.08650;12634	-4437	3220;-130	-228	-246;964	-4526	-7760;4107443.000;54.736;29.881
0.09100;13080	-4418	3061;-130	-228	-246;1193	-4656	-8099;4107443.000;54.736;29.881
0.09550;13487	-4431	2850;-124	-239	-256;1429	-4691	-8384;4107443.000;54.736;29.881
0.10000;13893	-4351	2616;-124	-239	-256;1477	-4815	-8724;4107443.000;54.736;29.881
0.10450;14246	-4324	2405;-127	-236	-254;1552	-4779	-9047;4107443.000;54.736;29.881
0.10900;14638	-4299	2175;-127	-236	-254;1574	-4805	-9358;4107443.000;54.736;29.881
0.11350;14975	-4083	1991;-128	-241	-251;1521	-4795	-9704;4107443.000;54.736;29.881
0.11800;15403	-3988	1738;-128	-241	-251;1464	-4766	-9989;4107443.000;54.736;29.881
0.12250;15812	-3800	1667;-132	-245	-253;1263	-4737	-10328;4107442.000;54.736;29.881
0.12700;16163	-3654	1646;-132	-245	-253;1024	-4633	-10662;4107442.000;54.736;29.881
0.13150;16509	-3549	1729;-136	-253	-252;785	-4578	-10895;4107442.000;54.736;29.881
0.13600;16920	-3523	1927;-136	-253	-252;568	-4565	-11139;4107442.000;54.736;29.881
0.14050;17344	-3566	2094;-138	-255	-252;311	-4682	-11370;4107442.000;54.736;29.881
0.14500;17752	-3509	1960;-138	-255	-252;-1	-4857	-11600;4107442.000;54.736;29.881
0.14950;18320	-3382	1926;-135	-255	-253;-286	-4960	-11895;4107442.000;54.736;29.917
0.15400;18909	-3299	2054;-135	-255	-253;-673	-5236	-12251;4107442.000;54.736;29.917
0.15850;19789	-3341	1990;-140	-262	-248;-1129	-5560	-12612;4107492.000;54.736;29.917
0.16300;20908	-3369	1549;-140	-262	-248;-1487	-5780	-12849;4107492.000;54.736;29.917
0.16750;21913	-3328	1454;-141	-270	-250;-1946	-5686	-13032;4107492.000;54.736;29.917
0.17200;22647	-3506	1422;-141	-270	-250;-2559	-5560	-13189;4107492.000;54.736;29.917
0.17650;23338	-3647	1253;-141	-277	-247;-3115	-5268	-13320;4107492.000;54.736;29.917
0.18100;23594	-3789	1175;-141	-277	-247;-3495	-4964	-13426;4107492.000;54.703;29.917
0.18550;23592	-3825	1299;-143	-275	-244;-3922	-4805	-13532;4107492.000;54.703;29.917
0.19000;23470	-3992	1369;-143	-275	-244;-4369	-4640	-13686;4107492.000;54.703;29.917
0.19450;23316	-4066	1399;-137	-279	-245;-4699	-4834	-13855;4107491.000;54.703;29.917
0.19900;23365	-4221	1353;-137	-279	-245;-5073	-4996	-13951;4107491.000;54.703;29.917
0.20350;23430	-4227	1260;-144	-278	-240;-5368	-5174	-14053;4107491.000;54.703;29.917
0.20800;23498	-4236	1135;-144	-278	-240;-5679	-5310	-14219;4107491.000;54.703;29.917
0.21250;23511	-4163	1055;-142	-290	-238;-5918	-5391	-14219;4107491.000;54.703;29.917
0.21700;23425	-4167	1096;-142	-290	-238;-6188	-5495	-14371;4107491.000;54.703;29.917
0.22150;23312	-4221	1016;-140	-288	-238;-6371	-5544	-14477;4107491.000;54.703;29.917
0.22600;23110	-4397	1206;-140	-288	-238;-6537	-5631	-14509;4107491.000;54.703;29.917
0.23050;22807	-4769	1353;-140	-291	-233;-6578	-5884	-14672;4107487.000;54.703;29.917
0.23500;22413	-5094	1591;-140	-291	-233;-6591	-6104	-14656;4107487.000;54.703;29.917
0.23950;21890	-5476	1807;-146	-294	-237;-6484	-6250	-14605;4107487.000;54.703;29.917
0.24400;21124	-5872	2099;-146	-294	-237;-6292	-6406	-14576;4107487.000;54.703;29.917
0.24850;20332	-6146	2348;-139	-301	-232;-6060	-6632	-14371;4107487.000;54.703;29.917
0.25300;19479	-6324	2712;-139	-301	-232;-5686	-6729	-14200;4107487.000;54.703;29.917
0.25750;18252	-6590	3099;-139	-301	-225;-5255	-6979	-13995;4107487.000;54.703;29.917
0.26200;17174	-6728	3309;-139	-301	-225;-4702	-7258	-13748;4107468.000;54.703;29.917
0.26650;16144	-6814	3483;-144	-311	-220;-4108	-7718	-13460;4107468.000;54.703;29.917
0.27100;15051	-6786	3698;-144	-311	-220;-3423	-8249	-13182;4107468.000;54.703;29.917
0.27550;14263	-6765	3829;-145	-314	-220;-2713	-8700	-12782;4107468.000;54.703;29.936
0.28000;13598	-6648	3931;-144	-314	-221;-1880	-9335	-12289;4107468.000;54.703;29.936
0.28450;13140	-6569	4184;-144	-314	-221;-1037	-10090	-11760;4107468.000;54.703;29.936
0.28900;12775	-6509	3989;-149	-318	-221;-136	-10728	-11286;4107468.000;54.703;29.936
0.29350;12799	-6222	4152;-149	-318	-221;691	-11376	-10796;4107468.000;54.703;29.936
0.29800;12933	-5911	3970;-150	-324	-213;1577	-12147	-10123;4107456.000;54.703;29.936
0.30250;13196	-5619	3913;-150	-324	-213;2278	-12682	-9662;4107456.000;54.703;29.936
0.30700;13575	-5256	3911;-158	-329	-209;2925	-13330	-9050;4107456.000;54.789;29.936
0.31150;14154	-4854	3892;-158	-329	-209;3507	-13851	-8397;4107456.000;54.789;29.936
0.31600;14802	-4451	3722;-160	-335	-208;3950	-14389	-7836;4107456.000;54.789;29.936
0.32050;15412	-4107	3557;-160	-335	-208;4320	-14837	-7205;4107456.000;54.789;29.936
0.32500;16212	-3895	3251;-162	-340	-203;4760	-15044	-6564;4107456.000;54.789;29.936
0.32950;16794	-3786	3081;-162	-340	-203;5094	-15138	-6045;4107456.000;54.789;29.936
0.33400;17394	-3889	2997;-160	-345	-200;5445	-15135	-5507;4107469.000;54.789;29.936
0.33850;17919	-4057	2857;-160	-345	-200;5782	-14973	-4928;4107469.000;54.789;29.936
