Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-12950	-2585	4441;-64	-71	-192;-3043	-4548	-5307;4108726.000;55.255;28.982
0.00850;-12878	-2565	4572;-64	-71	-192;-2757	-4357	-5056;4108726.000;55.255;28.982
0.01250;-12793	-2546	4549;-60	-66	-199;-2503	-4221	-4851;4108726.000;55.255;28.982
0.01650;-12737	-2471	4702;-60	-66	-199;-2214	-4013	-4655;4108726.000;55.255;28.982
0.02050;-12710	-2514	4804;-57	-72	-191;-1849	-3793	-4364;4108726.000;55.255;28.982
0.02450;-12518	-2449	4878;-57	-72	-191;-1604	-3621	-4130;4108726.000;55.255;28.982
0.02850;-12427	-2358	4877;-60	-75	-186;-1425	-3430	-3823;4108726.000;55.255;28.982
0.03250;-12281	-2211	4969;-60	-75	-186;-1227	-3268	-3624;4108717.000;55.255;28.982
0.03700;-12151	-2020	5019;-55	-79	-191;-1145	-3035	-3320;4108717.000;55.255;28.982
0.04150;-12007	-1937	4980;-55	-79	-191;-1111	-2789	-3012;4108717.000;55.255;28.982
0.04600;-11968	-1933	5085;-55	-82	-191;-1073	-2575	-2768;4108717.000;55.255;28.982
0.05050;-11865	-1937	5083;-55	-82	-191;-1064	-2367	-2403;4108717.000;55.255;28.982
0.05500;-11723	-1831	4988;-52	-80	-191;-1010	-2205	-2097;4108717.000;55.255;28.982
0.05950;-11546	-1941	5046;-52	-80	-191;-1020	-1956	-1774;4108717.000;55.255;28.982
0.06400;-11456	-1973	5003;-55	-84	-195;-910	-1736	-1530;4108717.000;55.255;28.982
0.06850;-11273	-1993	5060;-55	-84	-195;-841	-1538	-1158;4108698.000;55.255;28.982
0.07300;-11157	-1889	5114;-52	-81	-192;-725	-1301	-806;4108698.000;55.255;28.982
0.07750;-11085	-1805	5166;-52	-81	-192;-709	-1068	-495;4108698.000;55.255;28.982
0.08200;-10828	-1759	5209;-52	-83	-186;-621	-935	-210;4108698.000;55.222;28.982
0.08650;-10673	-1699	5294;-52	-83	-186;-511	-660	127;4108698.000;55.222;28.982
0.09100;-10546	-1647	5303;-43	-81	-188;-486	-488	361;4108698.000;55.222;28.982
0.09550;-10408	-1543	5350;-43	-81	-188;-476	-212	633;4108698.000;55.222;28.982
0.10000;-10391	-1505	5341;-56	-83	-192;-448	-38	954;4108698.000;55.222;28.982
0.10450;-10460	-1428	5331;-56	-83	-192;-394	244	1178;4108710.000;55.222;28.982
0.10900;-10583	-1391	5370;-51	-80	-188;-460	520	1640;4108710.000;55.222;28.982
0.11350;-10764	-1363	5393;-51	-80	-188;-504	795	1890;4108710.000;55.222;28.982
0.11800;-10937	-1335	5478;-48	-77	-190;-495	1003	2233;4108710.000;55.222;28.982
0.12250;-11168	-1387	5606;-48	-77	-190;-422	1362	2648;4108710.000;55.222;28.982
0.12700;-11469	-1407	5629;-52	-83	-189;-463	1518	3036;4108710.000;55.222;28.982
0.13150;-11764	-1438	5870;-52	-83	-189;-429	1880	3401;4108710.000;55.222;28.982
0.13600;-12048	-1438	6020;-52	-80	-188;-378	2043	3908;4108710.000;55.222;28.982
0.14050;-12332	-1499	6131;-52	-80	-188;-388	2386	4252;4108689.000;55.222;28.982
0.14500;-12566	-1489	6315;-49	-74	-189;-382	2597	4598;4108689.000;55.222;28.982
0.14950;-12800	-1497	6468;-49	-74	-189;-388	2804	5188;4108689.000;55.222;28.982
