Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.52604;-12814	4024	-184;-509	-15	-40;1431	-7523	8005;4108780.000;52.010;30.229
30.53053;-12959	3752	-66;-509	-20	-38;1284	-7203	7566;4108780.000;52.010;30.229
30.53503;-13100	3551	46;-507	-23	-36;1183	-6833	7133;4108780.000;52.010;30.229
30.53953;-13342	3416	11;-507	-23	-36;1173	-6479	6666;4108780.000;52.010;30.229
30.54403;-13533	3374	117;-512	-33	-44;1171	-6184	6192;4108780.000;52.010;30.229
30.54852;-13770	3313	72;-512	-33	-44;1233	-5769	5733;4108764.000;52.010;30.229
30.55302;-14038	3227	-57;-514	-35	-45;1419	-5452	5122;4108764.000;52.010;30.229
30.55752;-14226	3264	28;-514	-35	-45;1513	-5082	4635;4108764.000;52.010;30.229
30.56202;-14340	3225	-95;-519	-30	-37;1661	-4816	4097;4108764.000;51.858;30.229
30.56651;-14440	3178	-153;-519	-30	-37;1733	-4502	3472;4108764.000;51.858;30.229
30.57101;-14504	3213	-212;-519	-38	-45;1874	-4067	2931;4108764.000;51.858;30.229
30.57551;-14680	3192	-286;-519	-38	-45;2073	-3643	2380;4108764.000;51.858;30.229
30.58001;-14856	3059	-306;-513	-38	-44;2207	-3208	1736;4108764.000;51.858;30.229
30.58451;-14971	2970	-398;-513	-38	-44;2412	-2845	1150;4108723.000;51.858;30.229
30.58900;-15101	3067	-484;-514	-35	-42;2569	-2459	622;4108723.000;51.858;30.229
30.59350;-15181	3057	-435;-514	-35	-42;2789	-2008	-45;4108723.000;51.858;30.229
30.59800;-15262	3060	-448;-510	-36	-42;2968	-1726	-586;4108723.000;51.858;30.229
30.60250;-15119	3132	-334;-510	-36	-42;3100	-1380	-1143;4108723.000;51.858;30.229
30.60699;-14952	3212	-164;-516	-39	-42;3288	-981	-1749;4108723.000;51.858;30.229
30.61149;-14871	3276	-91;-516	-39	-42;3367	-585	-2274;4108723.000;51.858;30.229
30.61599;-14779	3401	88;-518	-34	-43;3468	-99	-2851;4108716.000;51.858;30.229
30.62049;-14718	3644	339;-518	-34	-43;3330	423	-3437;4108716.000;51.858;30.229
30.62498;-14812	3799	588;-511	-35	-37;3241	974	-3953;4108716.000;51.858;30.229
30.62948;-15046	3837	906;-511	-35	-37;3087	1460	-4506;4108716.000;51.858;30.229
30.63398;-15501	3805	1132;-514	-35	-35;2786	2083	-5105;4108716.000;51.858;30.229
30.63848;-15931	3707	1357;-514	-35	-35;2572	2534	-5656;4108716.000;51.858;30.229
30.64297;-16508	3513	1364;-519	-32	-35;2374	2998	-6264;4108716.000;51.858;30.229
30.64747;-17172	3305	1218;-519	-32	-35;2271	3445	-6928;4108716.000;51.858;30.229
30.65197;-17668	3057	1033;-517	-25	-40;2255	3847	-7614;4108739.000;51.858;30.229
30.65647;-18159	2879	661;-517	-25	-40;2230	4116	-8168;4108739.000;51.858;30.229
30.66096;-18562	2726	217;-510	-32	-41;2424	4495	-8940;4108739.000;51.858;30.229
