Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.24019;886	12451	5959;-469	-69	-214;5162	-8917	4392;4108599.000;57.136;29.477
30.24469;575	13190	6017;-469	-69	-214;6093	-8301	3966;4108599.000;57.136;29.477
30.24919;207	13806	6684;-475	-80	-211;7039	-8395	3677;4108599.000;57.136;29.477
30.25369;354	13903	6178;-475	-80	-211;8123	-9668	3399;4108599.000;57.136;29.477
30.25818;1035	14034	5075;-477	-85	-207;8613	-10890	3370;4108599.000;57.169;29.477
30.26268;2278	14602	4311;-477	-85	-207;8399	-11658	3258;4108629.000;57.169;29.477
30.26718;3603	15229	3720;-478	-83	-208;7887	-11622	3075;4108629.000;57.169;29.477
30.27168;4544	15520	3597;-478	-83	-208;7359	-11220	2918;4108629.000;57.169;29.477
30.27617;5428	15345	2990;-480	-89	-211;6746	-10818	2691;4108629.000;57.169;29.477
30.28067;6145	14640	2157;-480	-89	-211;6137	-10171	2396;4108629.000;57.169;29.477
30.28517;6545	13557	1015;-483	-91	-212;5354	-9053	2085;4108629.000;57.169;29.477
30.28967;6933	12354	-139;-483	-91	-212;4594	-7281	1509;4108629.000;57.169;29.477
30.29416;6642	10033	-1834;-486	-103	-202;4788	-5274	1105;4108629.000;57.169;29.477
30.29866;5954	7958	-978;-486	-103	-202;4521	-3029	807;4108633.000;57.169;29.477
30.30316;4730	6543	1792;-488	-100	-200;3170	940	-330;4108633.000;57.169;29.477
30.30766;2924	7045	3449;-488	-100	-200;3208	3581	-1271;4108633.000;57.169;29.477
30.31215;1118	9079	3730;-489	-96	-201;3657	4288	-1425;4108633.000;57.169;29.477
30.31665;-89	12215	3051;-489	-96	-201;2749	3040	-1070;4108633.000;57.169;29.477
30.32115;-25	14334	2452;-491	-101	-204;1059	1575	-938;4108633.000;57.169;29.477
30.32565;848	15454	2747;-491	-101	-204;-717	506	-1016;4108633.000;57.169;29.477
30.33014;2219	15553	3237;-491	-98	-206;-2628	166	-1340;4108633.000;57.169;29.477
30.33464;3370	14697	3142;-491	-98	-206;-3963	633	-1516;4108637.000;57.169;29.477
30.33914;4130	13287	2609;-492	-98	-203;-5148	1497	-1814;4108637.000;57.169;29.477
30.34364;4364	12067	2186;-492	-98	-203;-6336	3069	-1830;4108637.000;57.169;29.477
30.34813;4049	11657	2582;-492	-96	-199;-7602	4728	-1724;4108637.000;57.169;29.477
30.35263;3496	11832	2016;-492	-96	-199;-8699	6040	-1275;4108637.000;57.169;29.495
30.35713;2352	12023	2129;-485	-95	-207;-9733	6708	-20;4108637.000;57.169;29.495
30.36163;1370	12548	3224;-485	-95	-207;-10585	6721	830;4108637.000;57.169;29.495
30.36613;642	13304	4367;-481	-93	-209;-11421	6598	1298;4108639.000;57.169;29.495
30.37062;563	14367	5014;-481	-93	-209;-11735	5415	2467;4108639.000;57.169;29.495
30.37512;214	14062	5806;-482	-94	-211;-11672	4317	3264;4108639.000;57.169;29.495
30.37962;553	13963	7279;-482	-94	-211;-10710	3445	3142;4108639.000;57.169;29.495
30.38412;1318	13751	8323;-480	-95	-217;-9522	1877	2965;4108639.000;57.027;29.495
30.38861;2476	13018	7925;-480	-95	-217;-8288	970	2370;4108639.000;57.027;29.495
30.39311;3460	11742	7848;-480	-92	-217;-6773	577	1835;4108639.000;57.027;29.495
30.39761;4747	10620	7768;-480	-92	-217;-4708	607	1281;4108639.000;57.027;29.495
30.40211;5354	9887	8043;-480	-94	-226;-3278	898	1056;4108628.000;57.027;29.495
30.40660;5707	10129	8338;-480	-94	-226;-1811	1413	608;4108628.000;57.027;29.495
30.41110;5846	11558	9085;-475	-98	-225;-419	1783	221;4108628.000;57.027;29.495
30.41560;5718	13403	9869;-482	-101	-225;496	1786	-340;4108628.000;57.027;29.495
