Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.27867;-12674	10161	2259;-478	-77	-144;-293	205	-272;4107676.000;53.241;30.908
30.28317;-12686	10047	2235;-478	-77	-144;-265	241	-340;4107676.000;53.198;30.908
30.28767;-12661	9994	2204;-467	-77	-150;-224	244	-237;4107676.000;53.198;30.908
30.29217;-12714	9960	2252;-467	-77	-150;-142	267	-307;4107676.000;53.198;30.908
30.29666;-12771	10022	2126;-470	-74	-150;-54	218	-355;4107676.000;53.198;30.908
30.30116;-12765	10107	2143;-470	-74	-150;-7	257	-217;4107676.000;53.198;30.908
30.30566;-12747	10193	2208;-473	-73	-151;-10	182	-217;4107676.000;53.198;30.908
30.31016;-12878	10232	2267;-473	-73	-151;5	150	-333;4107676.000;53.198;30.908
30.31465;-12758	10229	2366;-468	-71	-152;12	101	-263;4107675.000;53.198;30.908
30.31915;-12713	10289	2322;-468	-71	-152;-111	98	-238;4107675.000;53.198;30.908
30.32365;-12635	10205	2382;-468	-70	-147;-108	156	-244;4107675.000;53.198;30.908
30.32815;-12579	10227	2386;-468	-70	-147;-55	179	-304;4107675.000;53.198;30.908
30.33264;-12626	10227	2356;-466	-74	-148;-64	231	-275;4107675.000;53.198;30.908
30.33714;-12689	10150	2357;-466	-74	-148;-32	341	-269;4107675.000;53.198;30.908
30.34164;-12616	10138	2372;-476	-78	-153;-13	302	-355;4107675.000;53.198;30.908
30.34614;-12682	10082	2388;-476	-78	-153;81	305	-356;4107675.000;53.198;30.908
30.35063;-12700	10127	2387;-469	-69	-151;112	279	-352;4107659.000;53.198;30.908
30.35513;-12670	10143	2360;-469	-69	-151;115	374	-416;4107659.000;53.198;30.908
30.35963;-12732	10286	2228;-463	-69	-152;119	351	-397;4107659.000;53.198;30.908
30.36413;-12785	10398	2268;-463	-69	-152;90	309	-432;4107659.000;53.198;30.908
30.36862;-12759	10504	2294;-467	-67	-146;18	338	-387;4107659.000;53.198;30.908
30.37312;-12830	10534	2321;-467	-67	-146;-76	260	-441;4107659.000;53.198;30.908
30.37762;-12774	10515	2272;-468	-74	-156;-183	250	-444;4107659.000;53.198;30.908
30.38212;-12778	10358	2246;-468	-74	-156;-224	234	-476;4107659.000;53.198;30.890
30.38661;-12814	10385	2199;-475	-72	-154;-271	286	-549;4107643.000;53.198;30.890
30.39111;-12756	10264	2201;-475	-72	-154;-265	341	-540;4107643.000;53.198;30.890
30.39561;-12801	10217	2329;-469	-72	-152;-356	348	-483;4107643.000;53.198;30.890
30.40011;-12805	10216	2287;-469	-72	-152;-337	322	-573;4107643.000;53.198;30.890
30.40460;-12823	10225	2315;-467	-72	-150;-444	254	-436;4107643.000;53.198;30.890
30.40910;-12702	10296	2253;-467	-72	-150;-494	276	-512;4107643.000;53.218;30.890
30.41360;-12719	10315	2219;-465	-75	-154;-532	205	-621;4107643.000;53.218;30.890
30.41810;-12787	10324	2281;-465	-75	-154;-585	267	-528;4107643.000;53.218;30.890
30.42259;-12735	10407	2293;-467	-76	-151;-689	202	-528;4107622.000;53.218;30.890
30.42709;-12692	10426	2324;-471	-74	-153;-834	156	-489;4107622.000;53.218;30.890
30.43159;-12772	10414	2331;-471	-74	-153;-997	212	-513;4107622.000;53.218;30.890
30.43609;-12768	10499	2277;-464	-75	-154;-1163	211	-561;4107622.000;53.218;30.890
