Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.61799;-8164	12232	6156;-228	-9	218;-265	-384	-670;4089043.000;55.419;29.752
30.62198;-8159	12257	6119;-231	-5	219;-300	-419	-644;4089043.000;55.419;29.752
30.62598;-8089	12310	6268;-231	-5	219;-354	-480	-660;4089043.000;55.419;29.752
30.62998;-8055	12268	6231;-232	-8	215;-431	-512	-663;4088941.000;55.419;29.752
30.63398;-7984	12250	6174;-232	-8	215;-515	-554	-770;4088941.000;55.419;29.752
30.63798;-8074	12180	6212;-229	-4	208;-569	-499	-726;4088941.000;55.419;29.752
30.64197;-8026	12057	6178;-229	-4	208;-608	-496	-764;4088941.000;55.419;29.752
30.64597;-8064	12045	6085;-233	-7	206;-608	-509	-732;4088941.000;55.419;29.752
30.64997;-8011	12087	6099;-233	-7	206;-601	-461	-783;4088941.000;55.419;29.752
30.65397;-8146	12145	6102;-231	1	213;-643	-371	-776;4088941.000;55.419;29.752
30.65796;-8179	12225	6129;-231	1	213;-762	-429	-723;4088941.000;55.419;29.752
30.66196;-8176	12205	6043;-234	-5	213;-948	-458	-745;4089086.000;55.419;29.752
30.66596;-8201	12137	5892;-234	-5	213;-1105	-425	-858;4089086.000;55.419;29.752
30.66996;-8302	12026	5922;-225	-5	214;-1204	-390	-818;4089086.000;55.419;29.752
30.67396;-8239	11882	5929;-225	-5	214;-1284	-361	-915;4089086.000;55.419;29.752
30.67795;-8269	11972	5898;-227	-2	213;-1403	-345	-937;4089086.000;55.419;29.752
30.68195;-8325	12068	5965;-227	-2	213;-1541	-297	-934;4089086.000;55.419;29.790
30.68595;-8288	12045	5967;-227	-3	217;-1717	-351	-1034;4089086.000;55.419;29.790
30.68995;-8217	11900	5870;-227	-3	217;-1875	-307	-1131;4089086.000;55.419;29.790
30.69394;-8216	11740	5841;-229	-5	211;-1929	-339	-1037;4089181.000;55.419;29.790
30.69794;-8251	11730	5804;-229	-5	211;-2025	-342	-1207;4089181.000;55.419;29.790
30.70194;-8280	11701	5686;-229	3	209;-2057	-336	-1056;4089181.000;55.419;29.790
30.70594;-8271	11773	5778;-229	3	209;-2198	-332	-1238;4089181.000;55.372;29.790
30.70994;-8198	11715	5807;-230	-12	206;-2291	-342	-1157;4089181.000;55.372;29.790
