Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;-16632	3119	-1564;-389	37	118;-296	555	408;4108088.000;55.235;30.211
0.00850;-16684	3102	-1689;-389	37	118;-249	564	388;4108088.000;55.235;30.211
0.01250;-16729	3117	-1690;-393	37	117;-152	639	353;4108088.000;55.235;30.211
0.01650;-16809	3173	-1741;-393	37	117;-196	503	275;4108088.000;55.235;30.211
0.02050;-16846	3304	-1720;-389	34	120;-86	461	176;4108088.000;55.235;30.211
0.02450;-16873	3417	-1651;-389	34	120;-29	351	151;4108088.000;55.235;30.211
0.02850;-16800	3575	-1659;-387	36	120;-95	302	131;4108083.000;55.235;30.211
0.03250;-16665	3732	-1588;-387	36	120;-105	166	67;4108083.000;55.235;30.211
0.03700;-16500	3816	-1617;-391	39	118;-108	72	33;4108083.000;55.235;30.211
0.04150;-16426	3881	-1518;-391	39	118;-70	95	-5;4108083.000;55.235;30.211
0.04600;-16238	3827	-1448;-392	28	116;-95	27	-18;4108083.000;55.235;30.211
0.05050;-16116	3765	-1269;-392	28	116;-42	62	-5;4108083.000;55.235;30.211
0.05500;-16020	3685	-1255;-393	33	119;-80	59	-76;4108083.000;55.235;30.174
0.05950;-15908	3594	-1123;-393	33	119;-111	140	-108;4108083.000;55.235;30.174
0.06400;-15857	3522	-1148;-396	34	124;-155	244	-165;4108043.000;55.235;30.174
0.06850;-15849	3589	-1174;-396	34	124;-186	289	-133;4108043.000;55.235;30.174
0.07300;-15859	3744	-1173;-386	36	120;-155	474	-99;4108043.000;55.235;30.174
0.07750;-15991	3877	-1217;-386	36	120;-218	636	-128;4108043.000;55.235;30.174
0.08200;-16193	4006	-1184;-391	29	123;-212	665	-87;4108043.000;55.235;30.174
0.08650;-16294	4092	-1221;-391	29	123;-280	597	-70;4108043.000;55.142;30.174
0.09100;-16388	4188	-1241;-393	33	121;-372	519	-208;4108043.000;55.142;30.174
0.09550;-16397	4271	-1338;-393	33	121;-450	474	-153;4108043.000;55.142;30.174
0.10000;-16406	4344	-1403;-397	32	120;-488	441	-154;4108042.000;55.142;30.174
0.10450;-16349	4479	-1287;-397	32	120;-601	273	-214;4108042.000;55.142;30.174
0.10900;-16259	4474	-1329;-390	35	120;-651	224	-156;4108042.000;55.142;30.174
0.11350;-16151	4499	-1326;-390	35	120;-721	198	-130;4108042.000;55.142;30.174
0.11800;-16032	4567	-1289;-397	34	121;-884	104	-214;4108042.000;55.142;30.174
0.12250;-15887	4618	-1259;-397	34	121;-906	46	-197;4108042.000;55.142;30.174
0.12700;-15789	4613	-1169;-397	30	120;-985	30	-172;4108042.000;55.142;30.174
0.13150;-15708	4619	-1135;-389	32	117;-1110	27	-149;4108042.000;55.142;30.174
0.13600;-15638	4648	-1040;-389	32	117;-1205	104	-92;4108047.000;55.142;30.174
0.14050;-15538	4703	-1003;-391	34	117;-1311	101	-130;4108047.000;55.142;30.174
0.14500;-15565	4693	-941;-391	34	117;-1384	189	-15;4108047.000;55.142;30.174
0.14950;-15511	4757	-871;-394	27	115;-1447	192	68;4108047.000;55.142;30.174
0.15400;-15548	4776	-987;-394	27	115;-1516	195	136;4108047.000;55.142;30.174
0.15850;-15496	4867	-964;-400	33	118;-1516	215	269;4108047.000;55.142;30.174
0.16300;-15525	4839	-1006;-400	33	118;-1512	260	368;4108047.000;55.142;30.174
0.16750;-15601	4680	-1054;-400	36	112;-1453	227	381;4108045.000;55.142;30.174
0.17200;-15627	4470	-1018;-400	36	112;-1418	218	449;4108045.000;55.142;30.174
0.17650;-15609	4376	-1093;-402	37	116;-1340	279	522;4108045.000;55.142;30.174
0.18100;-15712	4395	-1134;-402	37	116;-1340	321	558;4108045.000;55.142;30.211
0.18550;-15892	4469	-1173;-404	36	121;-1318	422	535;4108045.000;55.142;30.211
0.19000;-16119	4536	-1230;-404	36	121;-1205	444	622;4108045.000;55.142;30.211
0.19450;-16350	4625	-1345;-396	35	112;-1186	429	602;4108045.000;55.142;30.211
0.19900;-16502	4633	-1430;-396	35	112;-1186	289	653;4108045.000;55.142;30.211
0.20350;-16594	4604	-1370;-399	35	114;-1126	143	721;4108064.000;55.142;30.211
0.20800;-16600	4571	-1393;-399	35	114;-1072	-61	721;4108064.000;55.142;30.211
0.21250;-16480	4504	-1441;-396	35	115;-1025	-294	735;4108064.000;55.281;30.211
0.21700;-16333	4567	-1423;-396	35	115;-975	-466	767;4108064.000;55.281;30.211
0.22150;-16175	4575	-1371;-400	30	115;-878	-434	792;4108064.000;55.281;30.211
0.22600;-15920	4558	-1358;-400	30	115;-865	-560	843;4108064.000;55.281;30.211
0.23050;-15766	4573	-1318;-405	37	118;-799	-544	852;4108064.000;55.281;30.211
0.23500;-15656	4554	-1289;-405	37	118;-768	-550	849;4108064.000;55.281;30.211
0.23950;-15553	4600	-1249;-400	32	118;-692	-501	929;4108087.000;55.281;30.211
0.24400;-15545	4764	-1172;-400	32	118;-680	-453	940;4108087.000;55.281;30.211
0.24850;-15533	4749	-1149;-398	35	119;-736	-424	956;4108087.000;55.281;30.211
0.25300;-15459	4818	-1146;-398	35	119;-777	-226	1068;4108087.000;55.281;30.211
