Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;6153	12384	9412;-285	-342	-173;-122	-36	-1084;4109105.000;54.984;29.624
0.00850;6046	12338	9343;-287	-339	-171;-188	71	-897;4109105.000;54.984;29.624
0.01250;6134	12060	9267;-287	-339	-171;-176	-156	-987;4109105.000;54.984;29.624
0.01650;6263	12056	9064;-285	-337	-174;-16	-172	-1067;4109105.000;54.984;29.624
0.02050;6424	12214	9106;-285	-337	-174;160	-68	-782;4109105.000;54.984;29.624
0.02450;6325	12284	9405;-288	-340	-169;274	100	-817;4109105.000;54.984;29.624
0.02850;6253	12345	9475;-288	-340	-169;293	110	-913;4109112.000;54.984;29.624
0.03250;6019	12242	9809;-284	-335	-171;468	220	-788;4109112.000;54.984;29.624
0.03700;5972	12369	10126;-284	-335	-171;333	142	-830;4109112.000;54.984;29.624
0.04150;5795	12082	10072;-284	-341	-171;286	19	-788;4109112.000;54.984;29.624
0.04600;5647	12007	10148;-284	-341	-171;220	175	-628;4109112.000;54.984;29.624
0.05050;5593	11890	9992;-291	-338	-169;242	19	-523;4109112.000;54.984;29.624
0.05500;5590	12058	9858;-291	-338	-169;340	22	-591;4109112.000;54.984;29.661
0.05950;5569	12482	9823;-288	-339	-165;217	2	-533;4109112.000;54.984;29.661
0.06400;5526	12414	9541;-288	-339	-165;214	97	-469;4109116.000;54.984;29.661
0.06850;5650	12520	9717;-283	-338	-169;255	-78	-571;4109116.000;54.984;29.661
0.07300;5796	12424	9536;-283	-338	-169;264	-20	-346;4109116.000;54.984;29.661
0.07750;5713	12312	9493;-292	-347	-172;258	-4	-382;4109116.000;54.984;29.661
0.08200;5828	12272	9676;-292	-347	-172;336	-10	-375;4109116.000;54.984;29.661
0.08650;5702	12046	9425;-286	-335	-171;233	22	-276;4109116.000;54.882;29.661
0.09100;5860	12079	9280;-286	-335	-171;311	139	-262;4109116.000;54.882;29.661
0.09550;5805	11953	9477;-285	-340	-168;424	314	-217;4109116.000;54.882;29.661
0.10000;5651	11909	9235;-285	-340	-168;343	217	-243;4109135.000;54.882;29.661
0.10450;5553	12035	9237;-291	-335	-168;456	269	-240;4109135.000;54.882;29.661
0.10900;5454	12082	9351;-291	-342	-169;459	233	-256;4109135.000;54.882;29.661
0.11350;5323	12153	9383;-291	-342	-169;405	178	-301;4109135.000;54.882;29.661
0.11800;5259	12270	9382;-286	-335	-167;380	13	-374;4109135.000;54.882;29.661
0.12250;5259	12360	9389;-286	-335	-167;396	-110	-304;4109135.000;54.882;29.661
0.12700;5276	12504	9354;-291	-340	-171;283	-269	-352;4109135.000;54.882;29.661
