Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.42909;-3269	3907	16515;-64	-199	-100;-220	-711	157;4115894.000;53.209;31.204
30.43359;-3212	3916	16517;-60	-195	-97;-227	-650	169;4115894.000;53.209;31.204
30.43809;-3202	3902	16499;-60	-195	-97;-175	-634	131;4115894.000;53.209;31.204
30.44258;-3126	4026	16441;-63	-196	-101;-153	-650	222;4115894.000;53.209;31.204
30.44708;-3035	4129	16464;-63	-196	-101;-108	-592	278;4116015.000;53.209;31.204
30.45158;-2851	4144	16387;-58	-194	-101;-9	-599	206;4116015.000;53.209;31.204
30.45608;-2765	4194	16490;-58	-194	-101;33	-499	281;4116015.000;53.209;31.204
30.46057;-2654	4099	16637;-57	-195	-105;78	-390	300;4116015.000;53.209;31.204
30.46507;-2575	4070	16758;-57	-195	-105;162	-338	279;4116015.000;53.209;31.204
30.46957;-2581	4183	16862;-61	-193	-103;142	-274	263;4116015.000;53.209;31.204
30.47407;-2474	4222	16857;-61	-193	-103;177	-226	298;4116015.000;53.209;31.204
30.47856;-2371	4337	16796;-53	-203	-102;203	-143	304;4116015.000;53.209;31.204
30.48306;-2257	4435	16811;-53	-203	-102;184	-88	248;4115958.000;53.209;31.204
30.48756;-2276	4509	16756;-61	-202	-105;117	-30	282;4115958.000;53.209;31.204
30.49206;-2249	4534	16700;-61	-202	-105;40	44	263;4115958.000;53.209;31.204
30.49655;-2246	4484	16674;-62	-198	-100;-44	86	273;4115958.000;53.209;31.204
30.50105;-2171	4469	16696;-62	-198	-100;-73	121	172;4115958.000;53.209;31.204
30.50555;-2152	4404	16618;-63	-197	-98;-137	189	163;4115958.000;53.209;31.204
30.51005;-2178	4262	16551;-63	-197	-98;-146	201	232;4115958.000;53.209;31.204
30.51454;-2125	4144	16391;-58	-202	-108;-201	243	254;4115958.000;53.039;31.204
30.51904;-2094	4117	16374;-58	-202	-108;-227	317	186;4115872.000;53.039;31.204
30.52354;-2094	4056	16374;-57	-197	-99;-259	381	129;4115872.000;53.039;31.204
30.52804;-2078	4063	16368;-57	-197	-99;-317	452	163;4115872.000;53.039;31.204
30.53253;-2151	4170	16404;-66	-197	-96;-294	407	135;4115872.000;53.039;31.204
30.53703;-2259	4266	16358;-66	-197	-96;-371	474	53;4115872.000;53.039;31.204
30.54153;-2309	4357	16367;-58	-194	-103;-320	465	100;4115872.000;53.039;31.204
30.54603;-2363	4243	16335;-58	-194	-103;-300	462	-10;4115872.000;53.039;31.204
30.55052;-2408	4165	16309;-57	-196	-108;-220	407	-7;4115872.000;53.039;31.204
30.55502;-2433	4123	16243;-57	-196	-108;-153	436	-29;4115881.000;53.039;31.204
30.55952;-2463	4110	16245;-57	-198	-98;-73	429	-44;4115881.000;53.039;31.204
30.56402;-2564	4206	16211;-57	-198	-98;-21	439	-85;4115881.000;53.039;31.204
30.56851;-2632	4174	16187;-59	-193	-103;56	430	-85;4115881.000;53.039;31.204
30.57301;-2775	4233	15893;-59	-193	-103;242	336	-173;4115881.000;53.039;31.204
30.57751;-2536	4485	16489;-59	-198	-101;14	397	-98;4115881.000;53.039;31.204
30.58201;-2994	4871	16117;-59	-198	-101;56	317	-261;4115881.000;53.039;31.204
30.58650;-2582	4476	15552;-58	-195	-103;560	60	-399;4115881.000;53.039;31.204
30.59100;-2399	3984	16256;-58	-195	-103;242	384	-224;4115835.000;53.039;31.204
30.59550;-3091	4750	16441;-59	-190	-104;117	481	-403;4115835.000;53.039;31.204
30.60000;-3155	4986	15892;-59	-190	-104;479	124	-657;4115835.000;53.039;31.204
