Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
30.61949;-120	1665	16859;-238	-23	-175;205	130	-218;4108314.000;55.489;30.535
30.62348;-117	1771	16866;-236	-28	-169;221	190	-259;4108314.000;55.489;30.535
30.62748;-124	1686	16869;-236	-28	-169;214	220	-240;4108314.000;55.489;30.535
30.63148;-116	1579	16882;-241	-19	-173;288	271	-300;4108405.000;55.489;30.535
30.63548;-190	1644	17014;-241	-19	-173;291	319	-284;4108405.000;55.489;30.535
30.63947;-210	1678	16948;-239	-25	-164;278	306	-277;4108405.000;55.489;30.535
30.64347;-285	1884	17014;-239	-25	-164;329	271	-287;4108405.000;55.489;30.535
30.64747;-384	2011	16956;-239	-25	-173;272	255	-324;4108405.000;55.489;30.535
30.65147;-447	1970	16913;-239	-25	-173;307	223	-214;4108405.000;55.489;30.535
30.65547;-521	1934	16758;-233	-25	-168;240	78	-236;4108405.000;55.489;30.535
30.65946;-510	1923	16723;-233	-25	-168;275	49	-117;4108405.000;55.489;30.535
30.66346;-482	2092	16845;-234	-25	-169;195	-76	-208;4108542.000;55.489;30.535
30.66746;-328	2108	16751;-234	-25	-169;131	-41	-114;4108542.000;55.489;30.535
30.67146;-324	2198	16773;-237	-25	-169;66	-147	-104;4108542.000;55.489;30.535
30.67546;-191	2034	16777;-237	-25	-169;18	-130	-180;4108542.000;55.489;30.535
30.67945;-233	1919	16813;-238	-26	-168;-40	-147	-45;4108542.000;55.489;30.497
30.68345;-47	1833	16731;-238	-26	-168;-59	-137	-126;4108542.000;55.489;30.497
30.68745;-21	1956	16917;-240	-29	-169;-145	-2	-130;4108542.000;55.489;30.497
30.69145;-93	2090	16800;-240	-29	-169;-223	178	-202;4108542.000;55.489;30.497
30.69544;-121	2057	16796;-241	-25	-170;-181	184	-218;4108611.000;55.489;30.497
30.69944;-297	1833	16895;-241	-25	-170;-206	139	-239;4108611.000;55.489;30.497
30.70344;-306	1652	16950;-247	-28	-171;-181	88	-230;4108611.000;55.489;30.497
30.70744;-332	1611	16998;-247	-28	-171;-161	72	-214;4108611.000;55.452;30.497
30.71144;-333	1531	16979;-237	-29	-169;-119	62	-192;4108611.000;55.452;30.497
30.71543;-357	1645	16967;-237	-29	-169;-36	1	-177;4108611.000;55.452;30.497
30.71943;-355	1704	16947;-246	-22	-168;-36	-34	-205;4108611.000;55.452;30.497
30.72343;-278	1888	16894;-246	-22	-168;-104	17	-258;4108611.000;55.452;30.497
30.72743;-295	1929	16654;-235	-24	-168;-171	36	-186;4108733.000;55.452;30.497
30.73142;-279	1967	16724;-235	-24	-168;-206	65	-192;4108733.000;55.452;30.497
30.73542;-197	1936	16760;-240	-25	-164;-341	145	-198;4108733.000;55.452;30.497
30.73942;-174	1838	16694;-240	-25	-164;-299	265	-311;4108733.000;55.452;30.497
30.74342;-1	1493	16319;-239	-28	-166;-344	493	-534;4108733.000;55.452;30.497
30.74742;-62	1690	16362;-239	-28	-166;-145	1241	-525;4108733.000;55.452;30.497
30.75141;-519	1606	16921;-239	-29	-164;163	550	-472;4108733.000;55.452;30.497
30.75541;-530	1456	17062;-239	-29	-164;275	438	-277;4108733.000;55.452;30.497
30.75941;-670	1548	16908;-243	-26	-165;259	354	-321;4108729.000;55.452;30.497
