Accelerometer	mg	S:0.061	T:0.005000
Magnetometer	mG	S:1	T:0.005000
Gyroscope	dps	S:9	T:0.005000
Barometer	kPa	S:0.000000	T:0.005000
Hygrometer	rH	S:1	T:0.005000
Termometer	C	S:1	T:0.005000

Time;X	Y	Z;X	Y	Z;X	Y	Z;Value;Value;Value
0.00450;15337	-5599	1417;38	-372	-33;1299	1271	-132;4073030.000;54.669;29.484
0.00850;15273	-5498	1361;43	-369	-33;1302	1367	-27;4073030.000;54.669;29.484
0.01250;15233	-5353	1303;43	-369	-33;1257	1486	99;4073030.000;54.669;29.484
0.01650;15182	-5267	1259;43	-367	-51;1164	1499	244;4073030.000;54.669;29.484
0.02050;15106	-5128	1260;43	-367	-51;1042	1505	303;4073030.000;54.669;29.446
0.02450;14972	-4977	1214;42	-365	-41;946	1540	479;4073030.000;54.669;29.446
0.02850;14982	-4869	1192;42	-365	-41;763	1521	564;4073011.000;54.669;29.446
0.03250;14948	-4809	1184;40	-366	-39;629	1534	636;4073011.000;54.669;29.446
0.03700;15027	-4801	1130;40	-366	-39;475	1492	708;4073011.000;54.669;29.446
0.04150;15060	-4851	1090;37	-362	-49;318	1370	796;4073011.000;54.669;29.446
0.04600;15071	-4903	1044;37	-362	-49;167	1357	840;4073011.000;54.712;29.446
0.05050;15102	-4847	1010;43	-362	-36;96	1258	830;4073011.000;54.712;29.446
0.05500;15176	-4836	1065;43	-362	-36;16	1223	812;4073011.000;54.712;29.446
0.05950;15132	-4912	1001;36	-363	-41;-6	1097	746;4073011.000;54.712;29.446
0.06400;15151	-4973	1010;36	-363	-41;-45	1004	708;4073067.000;54.712;29.446
0.06850;15111	-5011	932;41	-360	-38;26	950	595;4073067.000;54.712;29.446
0.07300;15119	-5015	963;41	-360	-38;106	815	502;4073067.000;54.712;29.446
0.07750;15140	-5011	1005;43	-363	-42;195	777	433;4073067.000;54.712;29.446
0.08200;15099	-5026	903;43	-363	-42;279	735	326;4073067.000;54.712;29.446
0.08650;14926	-5025	922;44	-366	-43;369	664	188;4073067.000;54.712;29.446
0.09100;14899	-4918	893;44	-366	-43;472	542	36;4073067.000;54.712;29.446
0.09550;14818	-4917	878;43	-362	-45;510	546	-64;4073067.000;54.712;29.446
0.10000;14732	-4802	793;43	-362	-45;606	446	-174;4073139.000;54.712;29.446
0.10450;14756	-4761	762;44	-369	-39;619	405	-259;4073139.000;54.712;29.446
0.10900;14781	-4646	689;44	-369	-39;625	327	-375;4073139.000;54.712;29.446
0.11350;14814	-4540	699;42	-372	-40;565	337	-441;4073139.000;54.712;29.446
0.11800;14708	-4478	648;42	-372	-40;497	273	-573;4073139.000;54.712;29.446
0.12250;14733	-4453	650;39	-365	-36;365	250	-601;4073139.000;54.712;29.446
0.12700;14739	-4520	691;39	-365	-36;231	174	-701;4073139.000;54.712;29.446
0.13150;14771	-4566	767;43	-364	-38;96	112	-767;4073139.000;54.712;29.446
0.13600;14911	-4632	702;43	-364	-38;-54	71	-852;4073168.000;54.712;29.446
0.14050;14907	-4735	788;43	-364	-42;-157	109	-839;4073168.000;54.712;29.446
0.14500;14979	-4779	807;43	-364	-42;-292	35	-977;4073168.000;54.712;29.484
0.14950;14976	-4808	684;40	-361	-44;-350	0	-927;4073168.000;54.712;29.484
0.15400;15049	-4849	639;40	-361	-44;-378	-71	-1028;4073168.000;54.712;29.484
0.15850;14979	-4949	721;38	-364	-43;-398	-128	-1109;4073168.000;54.712;29.484
0.16300;14995	-5062	706;38	-364	-43;-420	-170	-1128;4073168.000;54.712;29.484
0.16750;15116	-5154	692;40	-365	-45;-407	-208	-1238;4073168.000;54.712;29.484
0.17200;15128	-5301	710;40	-365	-45;-353	-257	-1253;4073237.000;54.632;29.484
0.17650;15150	-5378	687;40	-366	-40;-318	-299	-1282;4073237.000;54.632;29.484
0.18100;15150	-5416	707;40	-366	-40;-234	-298	-1348;4073237.000;54.632;29.484
0.18550;15092	-5405	661;39	-367	-39;-215	-375	-1382;4073237.000;54.632;29.484
0.19000;15042	-5437	712;39	-367	-39;-215	-350	-1354;4073237.000;54.632;29.484
0.19450;15098	-5459	680;37	-364	-35;-151	-433	-1392;4073237.000;54.632;29.484
0.19900;15120	-5437	691;37	-364	-35;-138	-465	-1378;4073237.000;54.632;29.484
0.20350;15202	-5373	659;37	-363	-44;-116	-516	-1388;4073237.000;54.632;29.484
0.20800;15187	-5417	719;37	-363	-44;-131	-472	-1378;4073259.000;54.632;29.484
0.21250;15265	-5413	729;38	-366	-45;-128	-481	-1240;4073259.000;54.632;29.484
0.21700;15166	-5355	743;38	-366	-45;-148	-523	-1316;4073259.000;54.632;29.484
0.22150;15258	-5290	744;40	-362	-40;-202	-513	-1086;4073259.000;54.632;29.484
0.22600;15185	-5337	700;39	-364	-38;-247	-529	-1137;4073259.000;54.632;29.484
0.23050;15174	-5341	722;39	-364	-38;-359	-539	-961;4073259.000;54.632;29.484
0.23500;15223	-5323	630;37	-368	-44;-455	-574	-933;4073259.000;54.632;29.484
0.23950;15220	-5432	702;37	-368	-44;-529	-565	-808;4073259.000;54.632;29.484
0.24400;15236	-5411	720;39	-371	-37;-564	-530	-720;4073327.000;54.632;29.484
0.24850;15361	-5417	770;39	-371	-37;-603	-587	-651;4073327.000;54.632;29.484
0.25300;15292	-5501	702;38	-373	-42;-648	-587	-638;4073327.000;54.632;29.484
0.25750;15449	-5460	842;38	-373	-42;-635	-594	-531;4073327.000;54.632;29.484
0.26200;15398	-5485	895;40	-375	-40;-635	-558	-447;4073327.000;54.632;29.484
0.26650;15400	-5487	986;40	-375	-40;-635	-590	-437;4073327.000;54.632;29.484
0.27100;15342	-5503	1033;37	-368	-35;-616	-565	-362;4073327.000;54.632;29.503
0.27550;15354	-5493	1055;37	-368	-35;-536	-594	-330;4073327.000;54.632;29.503
0.28000;15469	-5447	1146;34	-364	-37;-513	-590	-267;4073443.000;54.632;29.503
0.28450;15386	-5385	1207;34	-364	-37;-503	-597	-204;4073443.000;54.632;29.503
0.28900;15431	-5411	1141;44	-365	-36;-465	-568	-186;4073443.000;54.632;29.503
0.29350;15458	-5352	1122;44	-365	-36;-440	-520	-173;4073443.000;54.632;29.503
0.29800;15505	-5240	1164;42	-371	-39;-452	-494	-148;4073443.000;54.919;29.503
0.30250;15442	-5214	1186;42	-371	-39;-474	-465	-183;4073443.000;54.919;29.503
0.30700;15467	-5147	1201;37	-367	-40;-503	-414	-92;4073443.000;54.919;29.503
0.31150;15444	-5157	1211;37	-367	-40;-523	-417	-164;4073491.000;54.919;29.503
0.31600;15413	-5126	1248;37	-360	-44;-606	-376	-83;4073491.000;54.919;29.503
0.32050;15477	-5085	1205;37	-360	-44;-593	-321	-133;4073491.000;54.919;29.503
0.32500;15523	-5109	1258;39	-375	-38;-645	-340	-126;4073491.000;54.919;29.503
0.32950;15509	-5069	1221;39	-375	-38;-651	-276	-126;4073491.000;54.919;29.503
0.33400;15550	-5075	1277;39	-373	-41;-702	-231	-123;4073491.000;54.919;29.503
0.33850;15539	-5072	1291;39	-373	-41;-741	-231	-161;4073491.000;54.919;29.503
0.34300;15552	-5094	1277;36	-371	-40;-754	-231	-167;4073491.000;54.919;29.503
0.34750;15497	-5141	1363;36	-371	-40;-825	-199	-164;4073528.000;54.919;29.503
0.35200;15508	-5187	1333;42	-368	-35;-850	-247	-192;4073528.000;54.919;29.503
0.35650;15568	-5156	1338;42	-368	-35;-824	-244	-180;4073528.000;54.919;29.503
0.36100;15494	-5155	1394;35	-371	-46;-834	-238	-255;4073528.000;54.919;29.503
0.36550;15499	-5236	1346;35	-371	-46;-824	-250	-215;4073528.000;54.919;29.503
0.37000;15537	-5318	1366;39	-372	-36;-805	-305	-259;4073528.000;54.919;29.503
0.37450;15600	-5331	1331;39	-372	-36;-757	-353	-287;4073528.000;54.919;29.503
0.37900;15581	-5368	1382;40	-364	-41;-683	-369	-296;4073528.000;54.919;29.503
0.38350;15521	-5378	1481;40	-364	-41;-625	-430	-324;4073542.000;54.919;29.503
0.38800;15641	-5426	1396;41	-368	-42;-558	-420	-368;4073542.000;54.919;29.503
0.39250;15704	-5383	1409;41	-368	-42;-491	-484	-334;4073542.000;54.919;29.503
0.39700;15783	-5318	1343;43	-368	-42;-510	-475	-353;4073542.000;54.919;29.465
0.40150;15796	-5338	1334;43	-368	-42;-417	-481	-340;4073542.000;54.919;29.465
0.40600;15819	-5341	1338;41	-374	-39;-423	-411	-318;4073542.000;54.919;29.465
0.41050;15747	-5316	1335;41	-374	-39;-378	-410	-302;4073542.000;54.919;29.465
0.41500;15714	-5331	1389;40	-367	-37;-391	-391	-299;4073542.000;54.919;29.465
0.41950;15703	-5286	1342;40	-367	-37;-350	-394	-236;4073731.000;54.919;29.465
0.42400;15710	-5226	1388;41	-369	-36;-369	-369	-293;4073731.000;54.616;29.465
0.42850;15725	-5172	1385;41	-369	-36;-340	-324	-189;4073731.000;54.616;29.465
0.43300;15729	-5211	1408;43	-369	-39;-356	-321	-167;4073731.000;54.616;29.465
0.43750;15667	-5191	1456;43	-369	-39;-388	-311	-208;4073731.000;54.616;29.465
0.44200;15699	-5174	1479;40	-374	-35;-372	-311	-117;4073731.000;54.616;29.465
0.44650;15690	-5250	1508;45	-373	-37;-388	-305	-214;4073731.000;54.616;29.465
0.45100;15635	-5300	1540;45	-373	-37;-375	-285	-151;4073731.000;54.616;29.465
0.45550;15682	-5326	1540;38	-369	-35;-359	-285	-173;4073843.000;54.616;29.465
0.46000;15645	-5268	1556;38	-369	-35;-311	-285	-176;4073843.000;54.616;29.465
0.46450;15691	-5338	1503;42	-371	-36;-260	-279	-171;4073843.000;54.616;29.465
0.46900;15648	-5364	1502;42	-371	-36;-215	-299	-180;4073843.000;54.616;29.465
0.47350;15695	-5356	1554;42	-366	-36;-151	-260	-136;4073843.000;54.616;29.465
0.47800;15677	-5316	1543;42	-366	-36;-112	-244	-192;4073843.000;54.616;29.465
0.48250;15678	-5309	1546;43	-372	-37;0	-260	-177;4073843.000;54.616;29.465
0.48700;15635	-5342	1548;43	-372	-37;51	-212	-215;4073843.000;54.616;29.465
0.49150;15659	-5366	1525;43	-372	-37;106	-205	-281;4073875.000;54.616;29.465
0.49600;15674	-5254	1523;43	-372	-37;208	-186	-277;4073875.000;54.616;29.465
0.50050;15673	-5290	1623;37	-373	-35;263	-179	-318;4073875.000;54.616;29.465
0.50500;15666	-5308	1526;37	-373	-35;333	-157	-308;4073875.000;54.616;29.465
0.50950;15682	-5222	1456;38	-368	-42;362	-183	-355;4073875.000;54.616;29.465
0.51400;15766	-5261	1622;38	-368	-42;398	-147	-374;4073875.000;54.616;29.465
0.51850;15775	-5267	1558;41	-372	-37;433	-160	-362;4073875.000;54.616;29.465
0.52300;15755	-5275	1498;41	-372	-37;462	-109	-390;4073875.000;54.616;29.484
0.52750;15777	-5284	1576;43	-374	-33;458	-26	-368;4073942.000;54.616;29.484
0.53200;15802	-5214	1608;43	-374	-33;430	26	-374;4073942.000;54.616;29.484
0.53650;15795	-5175	1557;39	-371	-33;359	103	-364;4073942.000;54.616;29.484
